"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RWF",0,9.37435449121509e-05,0,0.00100694332829728,2.40910448767984e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24766783649075,0,0.0188723433252279,0,0,0,0,0,0,NA,NA,NA,NA
"RAS",9.38738125401376e-05,0,0.11560446541025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000896962733294139,0,0,0.00230386770779156,0.000167846614017344,0,0,0,0,0,0,NA,NA,NA,NA
"RJ6",0.000257933653147668,0,0,0.193869137548619,0.00328076229322218,0,0,0,0,0,4.458692640685e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000920645850817356,0,0,0,0,0,0,NA,NA,NA,NA
"RVR",0.0010115561295213,0,2.34716696946785e-05,0.164078723199074,0.000220761574871025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568533780924304,2.28673708084499e-05,0,0,0,0,0,NA,NA,NA,NA
"RPY",0.00250476387665507,0,0.000505889391504454,0.00519142370375133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128323757468816,0,0,0,0,0,0,NA,NA,NA,NA
"RTP",0,0,0,0.0108585939760198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000690251650782562,0,0.128736201071636,0,0,0,0,0,0,NA,NA,NA,NA
"RAX",0.0231394561284685,0,0.04390400786251,0.134705390722942,2.71571778611182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193999124902269,0,0,0,0,0,0,NA,NA,NA,NA
"RYR",0,0,0,0.000200906490083256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160227090021012,0,0.348604147389411,0.00481514069409746,0,0,0,0,0,NA,NA,NA,NA
"RDU",0,0,0.00409555666310763,0,0,0,0,0,0,0,0,0,0,0,0,7.32364295378657e-05,0,0,0,0,0,3.4992552528443e-05,0,0.000118915790956643,0,0.000158714901093792,0,0,0.203949770431272,0.0490158736990094,0.083325580948154,0,0,0,0,0,NA,NA,NA,NA
"RGT",0,3.48813190370794e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855870990821118,0,0,0,0,0,0,0.42311698298708,0.0217506477132759,0.0268026852557493,0,3.74577631429388e-05,0,0,0,0,0.0049089542811091,0.0160004602825774,0.0654155706702552,NA,NA,NA,NA
