"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136744079995899,0,0.00320853986972306,0,0,0.42112095932474,0,0,0,0,0.000217857794831345,0,0,0,0,0,0,0,NA,NA,NA,NA
"RVJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333596793186056,0,0.388383367781737,0.0391071485163158,0.000172049711238955,0.0197877391002695,0,0,0,0,2.66940381018644e-05,0,0,0,0,0,0,0,NA,NA,NA,NA
"RA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111709017901753,0,0.406728909368262,0.125880095707932,0.00327408032581593,0.0177040617695579,0,0,0,0,0.000134761837514251,0,0,0.00584900147524616,0,0,0,0,NA,NA,NA,NA
"RD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201516092170228,0.0387037438069784,0,0.138068807554864,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RH5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313793403969872,0.0110805149850163,0.000548376004156751,0,0,0,0,0,0,0,0.000249160651259337,0,0,0,0,NA,NA,NA,NA
"RH8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69672502780698e-05,0.00287203025469296,0.463980408588105,0,0,0,0,0,0,0,0,0.027590508950962,0,0,0,0,NA,NA,NA,NA
"RN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43636033501027e-05,0,0,0.258311607847533,0,0,0,0,0.0122353415286901,0,0.000132007095121506,0,0,0,0,0,NA,NA,NA,NA
"RK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839018412685e-05,0.298590133933424,0,0,0,0,0,0,0,6.02867048586407e-05,0.210046014056963,0,0,0,0,NA,NA,NA,NA
"REF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701894344357925,0,0,0,0,0,0,0,0,0.75626531486557,0,0,0,0,NA,NA,NA,NA
"RA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220685853490683,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847942173816591,0,0.00569053718125645,0,0,0,0,0.000576505113199944,0.00161606162983366,0.279905973528939,0,0,0,0,0,NA,NA,NA,NA
"R0D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33508604206501,0,0.00162392010070728,0,0,0,0,0,0,0.0242815098077634,0,0,0,0,0,NA,NA,NA,NA
"RNZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193642084879781,0,0,0,0,0,0.0206706949917074,0,0.119027132493399,0,0,0,0,2.10969010805058e-05,0,0.0136481823818342,0,0,0,0,0,NA,NA,NA,NA
"RBD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115241039265605,0.00127710531924637,6.89257132296468e-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RHU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46067629380011e-05,0,0.000337054311947174,0,0,0,0,0,0.00424745181582779,0.291222203801285,0,0,0,0,0,NA,NA,NA,NA
"RGM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51040836078974e-05,0,0,0,0,0,0,0.0124828739204182,0.000585680339247513,0.000365356166225848,0,0,0,0,0,0,0.000466936028402779,0.000331674210186685,0.00649534565727938,NA,NA,NA,NA
"RD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063772418554347,0,0,0,0,0,0,0,0.00998897937376912,0,0,0.11018093391245,0,0,0,0,0,0,0,NA,NA,NA,NA
"RHW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51385861291168e-05,0,0,0,0,0.189389894842712,1.54218042793714e-05,0.0013559311463465,0,0,0,0,0,NA,NA,NA,NA
"RN5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015246973706734,0,0,0,0,0.0156991082469078,0.000189365410686234,0.211684290999767,0,0,0,0,0,NA,NA,NA,NA
"RXQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252972285047388,0,0,0,0,0,0,0,0.0166041493887241,0,0,0.1530136707919,0,0,0,0,0,0,0,NA,NA,NA,NA
"RXC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172867843143777,0,0.128456098068329,0,0,0,0,0,0,NA,NA,NA,NA
"R1F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654677234856733,0,0,0,0,0,NA,NA,NA,NA
"RM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224616290643259,0,2.91388353431658e-05,0,0,0,0,0,0,0.00065752216244473,0.639325731149849,0.0429508627710855,NA,NA,NA,NA
"RGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117369920885421,0,0.00206101223831084,0,0,0,0,0,0,0,0.0392345771492263,0.28558515705781,NA,NA,NA,NA
"RGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113201310451573,0.132652494264229,NA,NA,NA,NA
