day,mean_imports
0,0.004709833845344987
1,0.00641447231405553
2,0.007653644950706151
3,0.008976808832416392
4,0.010727041630746165
5,0.012806925485646988
6,0.0152579169941276
7,0.018188222218200028
8,0.021687032472068164
9,0.02585837254038718
10,0.030834052323840146
11,0.03677033724561993
12,0.04385265946028575
13,0.05230285667586328
14,0.062385946866355284
15,0.07441831263126546
16,0.08877780131160004
17,0.10591571519655027
18,0.1263711013830832
19,0.15078785674145345
20,0.17993517570663006
21,0.21473199168939053
22,0.2562761970911431
23,0.3058795782606229
24,0.3651095877248636
25,0.43583929020393025
26,0.5203070904723346
27,0.6211881572134023
28,0.7416798442153203
29,0.8856038516788655
30,1.0575284194629482
31,1.2629144865366186
32,1.508290525443344
33,1.801461692150932
34,2.1517600354368414
35,2.5703438468266158
36,3.0705558160811086
37,3.6683515731491987
38,4.3828124661807655
39,5.236759176473397
40,6.2574860244841775
41,7.477639759759126
42,8.936271309656052
43,10.680094591513246
44,12.764993228482176
45,15.257824072220016
46,18.238576111808595
47,21.802954908464464
48,26.06547658455291
49,31.163171997171265
50,37.26002163887916
51,44.552265664003144
52,53.27476200828533
53,63.708599818906066
54,76.1902164440297
55,91.12231539944192
56,108.98694165570483
57,130.3611412122593
58,155.93571656286525
59,186.5376911118141
60,223.15721721166855
61,266.9798082957319
62,319.42495039232335
63,382.1923579527416
64,457.3173904066397
65,547.2374475976545
66,654.8715244753781
67,783.7155404908425
68,937.956582131372
69,1122.6098263968756
70,1343.682671587537
71,1608.3715179512442
72,1925.297750541135
73,2304.7908263531754
74,2759.2280182556924
75,3303.442401330223
76,3955.2131963821075
77,4735.855772221781
78,5670.932690282699
79,6791.112511082552
80,8133.210228798934
81,9741.453042606698
82,11669.029146811696
83,13979.997698986364
84,16751.66909754516
85,20077.61299947395
86,24071.5290501564
87,28872.343309553326
88,34651.11064630086
89,41620.683111219354
90,50049.789874986476
91,60284.46003671559
92,72782.24444552253
93,88169.94006213383
94,107347.22301639938
95,131687.1171037507
96,163462.15028464876
97,206873.83070714847
98,271077.231852587
99,384051.9671413056
100,1.2100296163980542e6
101,7.801160093403433e7
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
