sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,65.41995724161484,73.27752201980707,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,65.41995724161484,73.27752201980707,65.41995724161484,73.27752201980707,65.41995724161484,73.27752201980707,65.41995724161484,73.27752201980707
2.0,37.49808066450642,43.60632715258229,57.03604293990474,72.4827085766458,61.279169261768,66.35872146214454,58.69474102377693,Inf,61.61647235651548,Inf,37.49808066450642,43.60632715258229,37.49808066450642,43.60632715258229,37.49808066450642,43.60632715258229,37.49808066450642,43.60632715258229
3.0,48.3636186750729,51.69101373267064,Inf,Inf,59.54429096937042,64.30833199312765,47.93342797926127,Inf,68.24766266847021,Inf,48.3636186750729,51.69101373267064,48.3636186750729,51.69101373267064,47.93342797926127,49.525040658171534,47.93342797926127,49.525040658171534
4.0,47.212277686305356,53.629547483631754,59.014439667308864,Inf,Inf,Inf,Inf,Inf,Inf,Inf,47.212277686305356,53.629547483631754,47.212277686305356,53.629547483631754,47.212277686305356,53.629547483631754,47.212277686305356,53.629547483631754
5.0,44.55298099697956,49.28865637681542,61.331139524550025,Inf,65.92881592872732,Inf,Inf,Inf,Inf,Inf,44.55298099697956,49.28865637681542,44.55298099697956,49.28865637681542,44.55298099697956,49.28865637681542,44.55298099697956,49.28865637681542
6.0,46.339141961488764,58.42404965316658,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,46.339141961488764,58.42404965316658,46.339141961488764,58.42404965316658,46.339141961488764,58.42404965316658,46.339141961488764,58.42404965316658
7.0,42.49912744697672,53.142173984006284,64.43093805769765,Inf,59.857475308538746,Inf,57.908412855661986,Inf,53.70539555561411,65.34759656615371,42.49912744697672,53.142173984006284,42.49912744697672,53.142173984006284,42.49912744697672,53.142173984006284,42.49912744697672,53.142173984006284
8.0,31.70738136940502,58.9000293341201,Inf,Inf,Inf,Inf,67.08204226093365,Inf,Inf,Inf,31.70738136940502,58.9000293341201,31.70738136940502,58.9000293341201,31.70738136940502,58.9000293341201,31.70738136940502,58.9000293341201
9.0,41.010552792251474,47.59837465266891,54.64103658183734,Inf,62.387610229223576,68.06320033713173,Inf,Inf,63.71474243032857,Inf,41.010552792251474,47.59837465266891,41.010552792251474,47.59837465266891,41.010552792251474,47.59837465266891,41.010552792251474,47.59837465266891
10.0,42.42117196434319,61.565217951577075,53.522996650866425,Inf,Inf,Inf,69.96302708877421,Inf,Inf,Inf,42.42117196434319,60.047833676756426,42.42117196434319,61.565217951577075,42.42117196434319,60.047833676756426,42.42117196434319,61.565217951577075
