sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
266.0,60.059704402465556,62.66297926899798,26.460984737014066,38.32171050735259,Inf,Inf,Inf,Inf,Inf,Inf,26.460984737014066,38.32171050735259,Inf,Inf,Inf,Inf,Inf,Inf
267.0,37.09601575920086,39.485482170464905,18.323085999904375,28.65597786097895,Inf,Inf,Inf,Inf,Inf,Inf,18.323085999904375,28.65597786097895,Inf,Inf,Inf,Inf,Inf,Inf
268.0,37.07442223837055,44.37782537634686,18.05401078725981,23.879469328006167,Inf,Inf,Inf,Inf,Inf,Inf,18.05401078725981,23.879469328006167,Inf,Inf,Inf,Inf,Inf,Inf
269.0,53.94773152412636,73.77486892786953,52.54020665764402,55.3948997032499,Inf,Inf,Inf,Inf,Inf,Inf,52.54020665764402,55.26738406304467,Inf,Inf,Inf,Inf,Inf,Inf
270.0,25.149916622908034,47.75370689688595,24.64655284899284,33.75898610171347,Inf,Inf,Inf,Inf,Inf,Inf,24.64655284899284,33.01326569979572,Inf,Inf,Inf,Inf,Inf,Inf
271.0,29.876929099226803,55.77266963869629,21.173115793405934,27.694431399513626,Inf,Inf,Inf,Inf,Inf,Inf,21.173115793405934,27.694431399513626,Inf,Inf,Inf,Inf,Inf,Inf
272.0,28.192619700111734,45.45458622325661,22.49100965252339,25.90551703858177,Inf,Inf,Inf,Inf,Inf,Inf,22.49100965252339,25.90551703858177,Inf,Inf,Inf,Inf,Inf,Inf
273.0,60.82447177615284,72.91992440674429,29.90389299779033,46.173538755035665,Inf,Inf,Inf,Inf,Inf,Inf,29.90389299779033,46.173538755035665,Inf,Inf,Inf,Inf,Inf,Inf
274.0,52.59279189628033,64.76788417223968,18.588511756346268,39.22895770464352,Inf,Inf,Inf,Inf,Inf,Inf,18.588511756346268,39.22895770464352,Inf,Inf,Inf,Inf,Inf,Inf
275.0,45.58125252291337,50.65678566230187,24.165822378643426,27.14338905934117,Inf,Inf,Inf,Inf,Inf,Inf,24.165822378643426,27.14338905934117,Inf,Inf,Inf,Inf,Inf,Inf
276.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
277.0,54.13061469291617,56.363063970761104,38.62805047420611,43.10037573001188,Inf,Inf,Inf,Inf,Inf,Inf,38.62805047420611,43.10037573001188,Inf,Inf,Inf,Inf,Inf,Inf
278.0,51.26435841828521,55.82197907009226,26.69332820795539,36.03476513939197,Inf,Inf,Inf,Inf,Inf,Inf,26.69332820795539,36.03476513939197,Inf,Inf,Inf,Inf,Inf,Inf
279.0,Inf,Inf,38.522241926922035,51.073645768971005,Inf,Inf,Inf,Inf,Inf,Inf,38.522241926922035,51.073645768971005,Inf,Inf,Inf,Inf,Inf,Inf
280.0,47.98645856112543,49.5812589018871,18.457482379025265,22.17615909352358,Inf,Inf,Inf,Inf,Inf,Inf,18.457482379025265,22.17615909352358,Inf,Inf,Inf,Inf,Inf,Inf
281.0,58.087472133335105,66.00717515916666,35.851511513092035,38.49549500030605,Inf,Inf,Inf,Inf,Inf,Inf,35.851511513092035,38.49549500030605,Inf,Inf,Inf,Inf,Inf,Inf
282.0,29.35933143379778,45.60302879640978,21.0160960330723,26.944476418899193,Inf,Inf,Inf,Inf,Inf,Inf,21.0160960330723,26.944476418899193,Inf,Inf,Inf,Inf,Inf,Inf
283.0,47.24558016305585,54.37894152122291,20.340747096791866,33.08022369339088,Inf,Inf,Inf,Inf,Inf,Inf,20.340747096791866,33.08022369339088,Inf,Inf,Inf,Inf,Inf,Inf
284.0,58.35725886425366,61.82243114850405,18.563746001075113,21.647781962934047,Inf,Inf,Inf,Inf,Inf,Inf,18.563746001075113,21.647781962934047,Inf,Inf,Inf,Inf,Inf,Inf
285.0,42.94967332659372,67.79290787492472,22.088688710422097,42.39782875576082,Inf,Inf,Inf,Inf,Inf,Inf,22.088688710422097,42.39782875576082,Inf,Inf,Inf,Inf,Inf,Inf
286.0,43.93854334694616,51.00451115378051,15.52029252849363,27.65763097819809,Inf,Inf,Inf,Inf,Inf,Inf,15.52029252849363,27.65763097819809,Inf,Inf,Inf,Inf,Inf,Inf
287.0,56.646345799877174,59.24116923195004,29.265219732585518,30.75231671428117,Inf,Inf,Inf,Inf,Inf,Inf,29.265219732585518,30.75231671428117,Inf,Inf,Inf,Inf,Inf,Inf
288.0,43.53479478203394,48.703651415236166,16.956877555078837,23.757126527689735,Inf,Inf,Inf,Inf,Inf,Inf,16.956877555078837,23.757126527689735,Inf,Inf,Inf,Inf,Inf,Inf
289.0,62.921922744172555,Inf,55.51343763387403,63.36345048675919,Inf,Inf,Inf,Inf,Inf,Inf,55.51343763387403,62.921922744172555,Inf,Inf,Inf,Inf,Inf,Inf
290.0,53.50447185929696,59.68609746637683,41.64342373736587,43.482436448456404,Inf,Inf,Inf,Inf,Inf,Inf,41.64342373736587,43.482436448456404,Inf,Inf,Inf,Inf,Inf,Inf
291.0,36.81767815100538,43.3008379960878,10.166294825665563,28.26303561594439,Inf,Inf,Inf,Inf,Inf,Inf,10.166294825665563,28.26303561594439,Inf,Inf,Inf,Inf,Inf,Inf
292.0,55.30365859578753,88.90836940381779,16.204786739561005,48.21679020876521,Inf,Inf,Inf,Inf,Inf,Inf,16.204786739561005,48.21679020876521,Inf,Inf,Inf,Inf,Inf,Inf
293.0,41.07322814488432,52.93358271070122,24.43361965784779,37.278057415582296,Inf,Inf,Inf,Inf,Inf,Inf,24.43361965784779,37.278057415582296,Inf,Inf,Inf,Inf,Inf,Inf
294.0,36.65893252423927,43.578160963581134,22.416057586664692,23.680511933028846,Inf,Inf,Inf,Inf,Inf,Inf,22.416057586664692,23.680511933028846,Inf,Inf,Inf,Inf,Inf,Inf
295.0,38.11186578652747,45.5060388184313,30.755149687416004,32.9030706232945,Inf,Inf,Inf,Inf,Inf,Inf,30.755149687416004,32.9030706232945,Inf,Inf,Inf,Inf,Inf,Inf
296.0,46.78436055172275,51.752056065705034,25.060256032501293,27.43051821039451,Inf,Inf,Inf,Inf,Inf,Inf,25.060256032501293,27.43051821039451,Inf,Inf,Inf,Inf,Inf,Inf
297.0,45.78885757143202,49.772083503606524,9.251925283313213,24.386492010340742,Inf,Inf,Inf,Inf,Inf,Inf,9.251925283313213,24.386492010340742,Inf,Inf,Inf,Inf,Inf,Inf
298.0,49.80141911643384,55.676875382159146,17.313191525574112,30.56610532302405,Inf,Inf,Inf,Inf,Inf,Inf,17.313191525574112,30.56610532302405,Inf,Inf,Inf,Inf,Inf,Inf
299.0,38.766690831920585,52.04251923257568,21.456028090972787,25.761521565721655,Inf,Inf,Inf,Inf,Inf,Inf,21.456028090972787,25.761521565721655,Inf,Inf,Inf,Inf,Inf,Inf
300.0,Inf,Inf,61.84074851614015,Inf,Inf,Inf,Inf,Inf,Inf,Inf,61.84074851614015,Inf,Inf,Inf,Inf,Inf,Inf,Inf
301.0,41.156938190578956,44.63346372859791,31.533379585673067,35.477107669557526,Inf,Inf,Inf,Inf,Inf,Inf,31.533379585673067,35.477107669557526,Inf,Inf,Inf,Inf,Inf,Inf
302.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
