sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
148.0,45.38586050615288,53.195811155589155,57.34059475078686,Inf,Inf,Inf,Inf,Inf,Inf,Inf,45.38586050615288,53.195811155589155,Inf,Inf,Inf,Inf,Inf,Inf
149.0,59.64333021203041,70.97546970847316,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
150.0,35.07888123946956,53.727447847460134,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
151.0,48.18694342099532,52.612116407404756,66.76654085985221,Inf,65.75247913448801,Inf,Inf,Inf,Inf,Inf,48.18694342099532,52.612116407404756,48.18694342099532,52.612116407404756,Inf,Inf,Inf,Inf
152.0,55.253483342901006,57.75055627199676,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
153.0,46.0562967484795,56.89768775414322,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
154.0,36.67838308900308,44.122950789756445,63.45251129767436,Inf,66.39620274012292,Inf,Inf,Inf,Inf,Inf,36.67838308900308,44.122950789756445,36.67838308900308,44.122950789756445,Inf,Inf,Inf,Inf
155.0,37.319139231523856,44.86858644333325,63.67926196069362,69.19916384807179,Inf,Inf,61.504989155990565,Inf,Inf,Inf,37.319139231523856,44.86858644333325,Inf,Inf,37.319139231523856,44.86858644333325,Inf,Inf
156.0,26.660532021607164,55.011923008212605,Inf,Inf,Inf,Inf,63.33092712614839,Inf,Inf,Inf,Inf,Inf,Inf,Inf,26.660532021607164,55.011923008212605,Inf,Inf
157.0,37.20534996642254,38.48194654600941,65.38774673801703,Inf,47.65563444779345,Inf,Inf,Inf,Inf,Inf,37.20534996642254,38.48194654600941,37.20534996642254,38.48194654600941,Inf,Inf,Inf,Inf
